timestamp,signal,total_signals,positive_outcomes,hit_rate_%,avg_return_%
2025-06-02 22:43:31,SELL,1649,1166,70.7,0.76
2025-06-02 22:43:31,HOLD,25436,12712,50.0,0.01
2025-06-02 23:13:35,BUY,154,154,100.0,909.9
2025-06-02 23:13:35,SELL,1672,1187,71.0,0.78
2025-06-02 23:13:35,HOLD,25764,12977,50.4,0.02
2025-06-02 23:43:37,BUY,155,155,100.0,909.9
2025-06-02 23:43:37,SELL,1695,1207,71.2,0.79
2025-06-02 23:43:37,HOLD,26092,13230,50.7,0.03
2025-06-03 00:13:41,BUY,157,157,100.0,904.11
2025-06-03 00:13:41,SELL,1747,1254,71.8,0.82
2025-06-03 00:13:41,HOLD,26776,13818,51.6,0.06
2025-06-03 01:08:10,BUY,159,159,100.0,898.47
2025-06-03 01:08:11,SELL,1799,1302,72.4,0.85
2025-06-03 01:08:11,HOLD,27460,14421,52.5,0.1
2025-06-03 01:30:37,BUY,161,161,100.0,892.97
2025-06-03 01:30:37,SELL,1851,1350,72.9,0.89
2025-06-03 01:30:37,HOLD,28144,15025,53.4,0.13
2025-06-03 01:44:39,BUY,163,163,100.0,887.61
2025-06-03 01:44:39,SELL,1903,1398,73.5,0.92
2025-06-03 01:44:39,HOLD,28828,15629,54.2,0.16
2025-06-03 01:54:01,BUY,165,165,100.0,882.38
2025-06-03 01:54:01,SELL,1955,1446,74.0,0.95
2025-06-03 01:54:01,HOLD,29512,16233,55.0,0.2
2025-06-03 01:57:58,BUY,167,167,100.0,877.27
2025-06-03 01:57:58,SELL,2007,1494,74.4,0.98
2025-06-03 01:57:58,HOLD,30196,16837,55.8,0.22
2025-06-03 02:06:45,BUY,169,169,100.0,872.28
2025-06-03 02:06:45,SELL,2059,1542,74.9,1.0
2025-06-03 02:06:45,HOLD,30880,17440,56.5,0.25
2025-06-03 02:19:48,BUY,171,171,100.0,867.41
